Track URI,Track Name,Artist Name(s),Album Name,Genres,Tempo,Energy,Valence,Danceability,Duration (ms),Source
spotify:track:2MaBAGBIttgv86bYytdx1f,Listen To Your Heart,Roxette,Look Sharp!,pop sueco,86.065,0.583,0.337,0.539,328093,Radio_Black_or_White
spotify:track:3QZ7uX97s82HFYSmQUAN1D,Tom Sawyer,Rush,Moving Pictures (2011 Remaster),"rock progresivo,rock clásico,hard rock,rock,aor",87.559,0.901,0.666,0.536,276880,Pure_Rock_&_Roll
spotify:track:28VbwtsYnj85UEODGpQRem,"Alone, Pt. II",Alan Walker;Ava Max,World Of Walker,,88.011,0.659,0.628,0.673,179052,This_Is_Alan_Walker
spotify:track:58z9sfHe9s9zTvYGKehCWM,Here I Go Again - 1987 Version / 2018 Remaster,Whitesnake,Whitesnake (2018 Remaster),"glam metal,glam rock,hard rock",88.618,0.808,0.246,0.148,275395,Rock_Classics
spotify:track:2RSHsoi04658QL5xgQVov3,Bad Liar,Imagine Dragons,Origins (Deluxe),,88.693,0.637,0.0805,0.307,260773,Radio_Imagine_Dragons
spotify:track:59WN2psjkt1tyaxjspN8fp,Killing In The Name,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),"rap metal,rap rock,metal alternativo,nu metal",88.785,0.833,0.661,0.466,313573,Rock_Classics
spotify:track:1G391cbiT3v3Cywg8T7DM1,Scar Tissue,Red Hot Chili Peppers,Californication (Deluxe Edition),"funk rock,rock alternativo,rock",88.969,0.717,0.547,0.595,215906,Rock_Classics
spotify:track:70SGUSGBpAD1FIEkmWM4PX,The Longest Kiss - Radio Edit,The Darkness,The Longest Kiss (Radio Edit),glam metal,89.106,0.676,0.716,0.635,164047,Pure_Rock_&_Roll
spotify:track:4POgt5ayni68MeLqclubcC,Red Red Wine,UB40,The Best Of UB40 Volume I,reggae,89.124,0.298,0.825,0.857,183800,Radio_Black_or_White
spotify:track:1Qdnvn4XlmZANCVy3XjrQo,Show Me How to Live,Audioslave,Audioslave,"grunge,post-grunge,metal alternativo",89.4,0.854,0.368,0.433,277840,Pure_Rock_&_Roll
spotify:track:0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,Led Zeppelin,Led Zeppelin II (1994 Remaster),"rock clásico,rock,hard rock,rock and roll",89.74,0.902,0.422,0.412,333893,Pure_Rock_&_Roll
spotify:track:6ToM0uwxtPKo9CMpbPGYvM,Break on Through (To the Other Side),The Doors,The Doors,"rock psicodélico,rock clásico,rock ácido",89.839,0.751,0.789,0.421,145866,Pure_Rock_&_Roll
spotify:track:5qaEfEh1AtSdrdrByCP7qR,Demons,Imagine Dragons,Night Visions,,89.929,0.71,0.419,0.5,177506,Radio_Imagine_Dragons
spotify:track:70mHIUa4beJjFpBNyHYwT2,Taste The Feeling (Avicii Vs. Conrad Sewell),Avicii;Conrad Sewell,Taste The Feeling (Avicii Vs. Conrad Sewell),edm,89.933,0.79,0.558,0.633,191065,This_Is_Avicii
spotify:track:3wuCCNCnBhJlwkIJTBZFiv,They Don't Care About Us,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",,89.946,0.905,0.731,0.859,284310,Radio_Black_or_White
spotify:track:27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,Sia,This Is Acting,,89.976,0.698,0.732,0.628,211666,Radio_Imagine_Dragons
spotify:track:0HZgYFimoJG9Ijy8InUWcV,Bad Reputation (feat. Joe Janiak),Avicii;Joe Janiak,TIM,"edm,tropical house",89.995,0.637,0.446,0.745,205416,This_Is_Avicii
spotify:track:1jLsirPDkUS2g4gnkYua58,Ignite,Alan Walker;Julie Bergan;K-391;SEUNGRI,Ignite,"pop noruego,k-pop",90.008,0.864,0.479,0.681,210288,This_Is_Alan_Walker
spotify:track:4Q9WS9ARvL7rkokSbnhM96,Detroit Rock City,KISS,Double Platinum,"glam rock,glam metal,hard rock,rock,rock clásico",90.591,0.9,0.447,0.546,215933,Pure_Rock_&_Roll
spotify:track:7mVYYM1jFHP5d5ygTgjrf6,When I'm Gone,Dirty Honey,Dirty Honey,,90.979,0.917,0.582,0.445,205090,Pure_Rock_&_Roll
spotify:track:5h6SovHOYpIMlAkafxcbq3,Funk #49,James Gang,Rides Again,"rock clásico,rock sureño",91.242,0.94,0.72,0.652,246293,Rock_Classics
spotify:track:0uppYCG86ajpV2hSR3dJJ0,Give It Away,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),"funk rock,rock alternativo,rock",91.577,0.936,0.776,0.666,282906,Pure_Rock_&_Roll
spotify:track:70LcF31zb1H0PyJoS1Sx1r,Creep,Radiohead,Pablo Honey,"art rock,rock alternativo",91.844,0.43,0.104,0.515,238640,Rock_Classics
spotify:track:2bhBxdo4dqqjCBvErJBZW7,Avalon,Alan Walker;Anne Gudrun,Walkerworld 2.0,techno melódico,91.859,0.571,0.119,0.518,136421,This_Is_Alan_Walker
spotify:track:4WG7Z3bNM3iE4vCYcXsxNx,Cult of Personality (2023 Remaster),Living Colour,Vivid (2023 Remaster),"funk rock,hard rock",91.994,0.905,0.555,0.521,294532,Rock_Classics
spotify:track:0lG6QM1jjbbX5UUn3DPmrZ,Lost Control,Alan Walker;Sorana,Different World,,91.997,0.555,0.323,0.736,222320,This_Is_Alan_Walker
spotify:track:7tKAMMMgaGDs5wTg7vCA1F,Corazón congelado,Pastora Soler,"Pastora Soler, Sus Grandes Éxitos","flamenco pop,flamenco",92.008,0.895,0.774,0.783,229040,"Pachangueo_80,_90_y_00"
spotify:track:2374M0fQpWi3dLnB54qaLX,Africa,TOTO,Toto IV,"yacht rock,rock suave",92.718,0.373,0.732,0.671,295282,Radio_Black_or_White
spotify:track:0emHuukZSuaOzOlsAWHj2W,American Woman - 7 Single Version,The Guess Who,American Woman (Expanded Edition),rock clásico,93.077,0.841,0.881,0.538,231640,Rock_Classics
spotify:track:6zeE5tKyr8Nu882DQhhSQI,Dust in the Wind,Kansas,Point Of Know Return (Expanded Edition),"rock clásico,rock progresivo,aor",93.503,0.322,0.387,0.475,206266,Rock_Classics
spotify:track:6kWJvPfC4DgUpRsXKNa9z9,All That She Wants,Ace of Base,The Sign,"eurodance,europop",93.764,0.625,0.858,0.798,211213,Mix_de_Gigi_D'Agostino
spotify:track:7HoWt1XVdWPcdZi2oVi9OQ,Broken Strings,Alan Walker;Isabella Melkman;Katherine O'Ryan,Broken Strings,,93.958,0.622,0.221,0.498,147349,This_Is_Alan_Walker
spotify:track:6TEftSkmWdTm1EpThnwqh6,Wrecked,Imagine Dragons,Mercury - Acts 1 & 2,,93.998,0.562,0.229,0.625,244004,Radio_Imagine_Dragons
spotify:track:19XUNscIDiBwOMRkRyTrG9,Not Home,Alan Walker;Alessia Labate,Not Home,,94.06,0.733,0.442,0.692,120624,This_Is_Alan_Walker
spotify:track:2LMq1O0NiqGhPOlXo3McYQ,Icky Thump,The White Stripes,Icky Thump,"garage rock,blues rock,rock,rock alternativo",94.214,0.63,0.341,0.417,254533,Pure_Rock_&_Roll
spotify:track:6PypGyiu0Y2lCDBN1XZEnP,Everybody Hurts,R.E.M.,Automatic For The People,"jangle pop,rock alternativo,rock",94.301,0.324,0.166,0.467,320266,Mix_de_rock
spotify:track:4jTqsgDaffdNH0BMBwhjFv,I Love Rock 'N Roll,Joan Jett & the Blackhearts,I Love Rock 'N' Roll (Expanded Edition),rock,94.378,0.716,0.901,0.534,175173,Rock_Classics
spotify:track:7oxSfM3FXCdw7EXNreNoRz,Midnight Rider,Allman Brothers Band,Idlewild South,"rock sureño,improvisación,rock clásico,blues rock,country rock",94.604,0.534,0.666,0.585,180066,Rock_Classics
spotify:track:6ORqU0bHbVCRjXm9AjyHyZ,Good Riddance (Time of Your Life),Green Day,Nimrod,"punk,pop punk",94.605,0.432,0.648,0.475,153466,Rock_Classics
spotify:track:0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,Evanescence,Fallen,metal alternativo,94.612,0.943,0.296,0.331,235893,Mix_de_rock
spotify:track:62kvFjQjn4Itde8NBTkiSE,Humo y Cristales,La Fuga,Humo y Cristales,,94.979,0.88,0.621,0.538,205149,"Pachangueo_80,_90_y_00"
spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers;Halsey,Closer,,95.01,0.524,0.661,0.748,244960,Radio_Imagine_Dragons
spotify:track:1aYkkrAbPmMuorVz5HWIqE,The Look,Roxette,Look Sharp!,pop sueco,95.011,0.838,0.541,0.634,237320,Mix_de_rock
spotify:track:4KIy6jNEmGFl33RU84iL5P,Eroina,Alan Walker;Sorana,"World of Walker, Season One: Rise of the Drones",,95.055,0.734,0.369,0.646,202210,This_Is_Alan_Walker
spotify:track:1c5q7DAa1EoEDf4qVymvMs,Goin' Back Where I Came From,Bones Owens,Goin' Back Where I Came From,"blues rock,blues modern",95.101,0.882,0.499,0.488,167946,Pure_Rock_&_Roll
spotify:track:5nEdwtSv0qqeE0l4o1lR4q,(When You Gonna) Give It Up to Me - Radio Version,Sean Paul;Keyshia Cole,(When You Gonna) Give It Up to Me,"dancehall,r&b",95.824,0.761,0.718,0.711,243880,mix_alegre
spotify:track:2cxjLvJ5U7rTAyG14aebDX,Monster,Alan Walker;Emyrson Flora,Monster,,95.987,0.671,0.0972,0.61,158798,This_Is_Alan_Walker
spotify:track:3X7uFMzJrEE0sxn62qd8Ch,Nothing's Gonna Stop Us Now,Starship,No Protection,,95.99,0.802,0.53,0.643,270333,Radio_Black_or_White
spotify:track:1AuwWGznBvI76jOF8cZ4E4,Dogs Of War,Mötley Crüe,Dogs Of War,"glam metal,glam rock,hard rock",95.997,0.95,0.34,0.489,244466,Pure_Rock_&_Roll
spotify:track:66hWIxJIeJDDutXLhxpFJ5,Heroína,La Fuga,Negociando gasolina,,96.038,0.865,0.819,0.574,259426,"Pachangueo_80,_90_y_00"
spotify:track:7yCF65vpc7sUwPjftI0iFb,Happy Nation,Ace of Base,Happy Nation,"eurodance,europop",96.049,0.864,0.672,0.668,255413,Cycling_Energy_Mix
spotify:track:4aVuWgvD0X63hcOCnZtNFA,Hold the Line,TOTO,Toto,"yacht rock,rock suave",96.556,0.898,0.808,0.473,235552,Pure_Rock_&_Roll
