Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:79UX8fkSsowWI1HOd8VoYt,"Friend Of Mine (feat. Vargas & Lagola)","AVĪCI (01)","Avicii;Vargas & Lagola",2017-08-10,159863,56,false,,2025-09-18T08:22:30Z,"edm","Pophouse Entertainment Group",0.701,0.717,7,-4.367,0,0.056,0.0181,0.00599,0.0713,0.666,109.999,4
spotify:track:0By7GAIixApdMFPiNtfeck,"Beautiful Drug (feat. Avicii) - Remix","Beautiful Drug (feat. Avicii) [Remix]","Zac Brown Band;Avicii",2024-02-16,164241,48,false,,2025-09-18T08:22:30Z,"country,country acústico,edm","Home Grown Music",0.763,0.839,8,-3.709,0,0.0385,0.0361,0.0000232,0.24,0.2,119.985,4
spotify:track:0PCRR19Pf4iiuvSrPxtQ0x,"Sunshine","Nothing but the Beat (Ultimate Edition)","David Guetta;Avicii",2012-12-07,360960,55,false,,2025-09-18T08:22:30Z,"edm","Parlophone (France)",0.59,0.8,1,-5.044,0,0.0437,0.00064,0.902,0.0512,0.219,127.994,4
spotify:track:4yTeQK2XThWYeEW8D72XmU,"Dear Boy","True","Avicii",2013-09-16,479333,57,false,,2025-09-18T08:22:30Z,"edm","Pophouse Entertainment Group",0.686,0.581,9,-5.911,1,0.112,0.000276,0.1,0.3,0.253,124.995,4
spotify:track:3bMsT2EiXYKSUjc9uvIkI3,"Wake Me Up - Avicii By Avicii","True: Avicii By Avicii","Avicii;Tim Bergling",2014-01-01,425760,51,false,,2025-09-18T08:22:30Z,"edm","Pophouse Entertainment Group",0.673,0.695,11,-5.598,0,0.0538,0.00275,0.193,0.644,0.43,125.005,4
spotify:track:1wwgo7Z0zFGsivQ4wPo0g8,"Divine Sorrow","Divine Sorrow","Wyclef Jean;Avicii",2014-11-24,278715,50,false,,2025-09-18T08:22:30Z,"edm","PRMD",0.532,0.609,0,-4.153,1,0.0413,0.0255,0,0.1,0.424,129.936,4
spotify:track:0kXJNqmYdjwb31QLWGkNb7,"Superlove","Superlove","Avicii;Lenny Kravitz",2012-05-29,322514,52,false,,2025-09-18T08:22:30Z,"edm","Roadrunner Records",0.729,0.955,9,-6.87,0,0.113,0.136,0.918,0.0841,0.896,128.008,4
spotify:track:13bHItq1R7F0k0mVZ4PUG8,"Shame On Me","True","Avicii",2013-09-16,253493,51,true,,2025-09-18T08:22:30Z,"edm","Pophouse Entertainment Group",0.723,0.843,11,-6.724,0,0.139,0.0518,0.0507,0.32,0.42,125.982,4
spotify:track:0XN65qybmkxjZt3gp90sWT,"All You Need Is Love","True (Bonus Edition)","Avicii",2013-09-16,381120,52,false,,2025-09-18T08:22:30Z,"edm","Pophouse Entertainment Group",0.773,0.425,6,-4.838,1,0.0929,0.0349,0.0249,0.0428,0.441,125.022,4
spotify:track:4eteOEGYlGM33q76CKdPom,"The Days - Henrik B Remix","The Days / Nights","Avicii;Henrik B",2014-01-01,236945,49,false,,2025-09-18T08:22:30Z,"edm,house progresivo","Pophouse Entertainment Group",0.584,0.824,9,-5.236,0,0.0446,0.0153,0.00000735,0.097,0.542,126.964,4
