Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7tZSQgFyzWAAtsb7OUUDbn,"Sunny","Sunny","Disco Lines;GUDFELLA",2025-03-28,154354,55,false,,2026-05-29T04:01:29Z,"stutter house","Good Good Records / GUDFELLA appears courtesy of Thrive Music",0.738,0.785,5,-7.25,0,0.0361,0.00438,0.681,0.0799,0.331,126.037,4
spotify:track:573wEbtTrCoyZFm3HaZg1d,"I Got Love (feat. Nate Dogg)","I Got Love (feat. Nate Dogg)","CYRIL;Kelland;Nate Dogg",2025-09-19,132272,58,true,,2026-05-29T04:01:29Z,"g-funk,hip hop de la costa oeste,hip hop old school","Spinnin' Records",0.929,0.756,0,-4.96,1,0.206,0.00952,0.0156,0.129,0.652,132.037,4
spotify:track:1hl81ThWpsoVYylBPaWedn,"The Way I Are - Max Dean Remix","The Way I Are (Max Dean Remix)","Timbaland;Keri Hilson;D.O.E.;Max Dean",2025-12-26,183953,57,false,,2026-05-29T04:01:29Z,"house","Blackground Records/Interscope Records",0.815,0.722,3,-6.513,0,0.0404,0.0535,0.0283,0.0813,0.923,129.011,4
spotify:track:6TWbY1dq8eYtFiMiGdBlOa,"Free Your Mind","Free Your Mind","Prospa;Cloonee",2026-03-27,201700,84,false,,2026-05-29T04:01:29Z,"house,tech house","CircoLoco Records",0.699,0.947,4,-4.209,0,0.0573,0.00764,0.0198,0.267,0.407,127.985,4
spotify:track:507j66jaEEUU11uFSTOHFM,"Actin' Tough","Actin' Tough","Dean Turnley",2026-03-20,187285,76,true,,2026-05-29T04:01:29Z,"","Polydor Records",0.954,0.698,6,-8.745,1,0.163,0.072,0.0000148,0.112,0.802,140.006,4
spotify:track:3qhf5WajCHsJibQ7cQ2qYS,"I Know You Want To","I Know You Want To","Max Styler",2025-03-14,193488,63,true,,2026-05-29T04:01:29Z,"tech house","Insomniac Records",0.801,0.885,2,-5.36,1,0.0504,0.00443,0.899,0.147,0.644,129.007,4
spotify:track:1eA6Uh2q01uLdV8aXupWtY,"Girl's Girl - Girls Trip","Midnight Sun: Girls Trip","Zara Larsson;Emilia",2026-05-01,195913,72,true,,2026-05-29T04:01:29Z,"trap argentino","Sommer House/Epic",0.765,0.736,0,-6.306,1,0.121,0.00965,0.00087,0.0566,0.677,135.022,4
spotify:track:6bavRPbVF9voNZ4r6hTgVO,"Toxic","Toxic","Chris Lake;Ragie Ban",2025-03-28,164244,66,false,,2026-05-29T04:01:29Z,"tech house,house,bass house","Black Book Records/Astralwerks",0.836,0.699,10,-5.082,1,0.0637,0.0175,0.256,0.0903,0.808,129.04,4
spotify:track:0eFqPUbuiobmOEiotEFxGy,"R 2 ME","R 2 ME","BL3SS;Tchami",2025-04-18,152173,69,false,,2026-05-29T04:01:29Z,"future house,bass house,g-house,house","Atlantic Records UK",0.636,0.898,11,-4.475,0,0.0646,0.00033,0.00014,0.0611,0.208,138.013,4
spotify:track:0oB8BYocpXaQ7hxX8ZhPJ6,"System","System","Odd Mob;OMNOM;HYPERBEAM",2025-09-05,201230,58,false,,2026-05-29T04:01:29Z,"tech house,bass house","Insomniac Records",0.728,0.856,1,-4.97,0,0.0381,0.0237,0.0569,0.0985,0.152,129.987,4
spotify:track:3tvfmoyEtk3kuktDUssJam,"For The Soul","For The Soul","Tini Gessler",2025-11-21,175384,58,true,,2026-05-29T04:01:29Z,"tech house","Trace Amounts",0.784,0.606,10,-6.229,0,0.0399,0.00151,0.762,0.123,0.887,130.068,4
spotify:track:4H2rI43vuXJuUrRIMxknzA,"COOK","COOK","SOFI TUKKER;J Balvin",2026-02-06,170243,68,false,,2026-05-29T04:01:29Z,"reggaetón,latina","Sofi Tukker/Republic",0.768,0.66,11,-5.229,0,0.0374,0.00615,0.0786,0.128,0.281,107.977,4
spotify:track:3DjMtj3Q1gUm1wIVnVekPC,"What You Saying","What You Saying","Lil Uzi Vert",2025-12-22,131729,86,false,,2026-05-29T04:01:29Z,"rap melódico,rage rap","Cor(e)",0.634,0.731,11,-7.801,0,0.205,0.00777,0,0.168,0.354,133.146,4
spotify:track:4C7LPGCce5AI0O6glhDf1Y,"Good Boys (Hide Away)","Good Boys (Hide Away)","Daya;Albi",2025-12-05,153385,66,false,,2026-05-29T04:01:29Z,"","Spinnin' Records",0.713,0.783,1,-4.421,0,0.0554,0.0666,0.00865,0.314,0.367,130.026,4
spotify:track:41CxuAJOOnpWZeWOAtCg0G,"Enamorá","Enamorá","MESTIZA;Tayllor",2025-03-14,172000,46,false,,2026-05-29T04:01:29Z,"house latino,flamenco,afro house,tribal house,afro tech,house orgánico","Sacro Music",0.772,0.897,10,-6.482,0,0.0465,0.0043,0.9,0.0752,0.196,120.002,4
spotify:track:4Q0RxLgLm5JDLLU43TmM6P,"Keep Dancing","Keep Dancing","Girls Don't Sync",2026-01-16,145699,33,false,,2026-05-29T04:01:29Z,"uk garage,hard house","Fourmation",0.881,0.907,6,-9.165,1,0.137,0.17,0.036,0.0761,0.739,139.992,4
spotify:track:4fErrQvOX1LPDIPFDFI4eM,"The One (feat. Jocelyn Brown)","The One (feat. Jocelyn Brown)","Chloé Caillet;Luke Alessi;Jocelyn Brown",2025-04-11,182498,65,false,,2026-05-29T04:01:29Z,"indie dance,house","SMiiLE Records / Disorder",0.746,0.672,11,-7.072,1,0.0783,0.00257,0.735,0.0717,0.754,129.999,4
