Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:60a0Rd6pjrkxjPbaKzXjfq,"In the End","Hybrid Theory (Bonus Edition)","Linkin Park",2000-10-24,216880,92,false,hs0zl79ann50avzla46l34dst,2021-03-23T18:14:23Z,"nu metal,rap metal,rock,metal alternativo","Warner Records",0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,4
spotify:track:65ES1qwOB577ZnTkizMXJJ,"HUMBLE. - SKRILLEX REMIX","HUMBLE. (SKRILLEX REMIX)","Skrillex;Kendrick Lamar",2017-09-29,156800,68,true,hs0zl79ann50avzla46l34dst,2021-03-23T18:14:38Z,"dubstep,edm,electro,electrónica,hip hop,hip hop de la costa oeste","Aftermath",0.901,0.934,11,-2.345,1,0.273,0.00794,0.0000768,0.194,0.868,150.037,4
spotify:track:7iL6o9tox1zgHpKUfh9vuC,"In Da Club","Get Rich Or Die Tryin'","50 Cent",2003-02-06,193466,85,true,hs0zl79ann50avzla46l34dst,2021-03-23T18:14:51Z,"hip hop old school,hip hop de la costa este","Shady Records",0.899,0.713,6,-2.752,0,0.366,0.255,0,0.0708,0.777,90.051,4
spotify:track:6HfOzLLjsaXsehIFEsrxTk,"Trophies","Rise Of An Empire (Deluxe Edition)","Young Money;Drake",2014-01-01,188320,74,true,hs0zl79ann50avzla46l34dst,2021-03-23T18:15:01Z,"rap","Cash Money Records/Motown Records",0.744,0.687,1,-7.475,1,0.381,0.155,0,0.137,0.283,143.936,4
spotify:track:2ZEq4HT450Ye9IFGPTl9qV,"Lonely","Lonely","Joel Corry",2020-01-24,190955,63,false,hs0zl79ann50avzla46l34dst,2021-03-23T18:15:14Z,"dance pop","Atlantic Records UK",0.697,0.921,5,-4.283,1,0.0424,0.0946,0.000019,0.159,0.722,123.988,4
spotify:track:6EDO9iiTtwNv6waLwa1UUq,"POPSTAR (feat. Drake)","POPSTAR (feat. Drake)","DJ Khaled;Drake",2020-07-17,200221,70,true,hs0zl79ann50avzla46l34dst,2021-03-23T18:15:29Z,"rap","OVO/We The Best/Epic",0.8,0.56,5,-4.818,0,0.261,0.057,0,0.134,0.45,163.071,4
spotify:track:0TlLq3lA83rQOYtrqBqSct,"Nonstop","Scorpion","Drake",2018-06-29,238614,80,true,hs0zl79ann50avzla46l34dst,2021-03-23T18:15:40Z,"rap","Cash Money/Drake LP6",0.912,0.412,7,-8.074,1,0.123,0.0165,0.0126,0.104,0.423,154.983,4
spotify:track:2tnVG71enUj33Ic2nFN6kZ,"Ride It","Ride It","Regard",2019-07-26,157605,79,false,hs0zl79ann50avzla46l34dst,2021-03-23T18:15:48Z,"","Ministry of Sound Recordings",0.88,0.751,7,-4.258,0,0.0874,0.177,0.0000643,0.106,0.884,117.948,4
spotify:track:7sYAS4CpbV90oSemgaEQat,"On & On","On & On","Alok;Dynoro",2019-11-22,145524,61,false,hs0zl79ann50avzla46l34dst,2021-03-23T18:16:11Z,"graves brasileños,electrónica,slap house,electro house","Columbia/B1 Recordings",0.747,0.776,10,-5.898,0,0.0722,0.0233,0.0000138,0.761,0.67,125.07,4
spotify:track:7KXjTSCq5nL1LoYtL7XAwS,"HUMBLE.","DAMN.","Kendrick Lamar",2017-04-14,177000,85,true,hs0zl79ann50avzla46l34dst,2021-03-23T18:16:18Z,"hip hop,hip hop de la costa oeste","Aftermath",0.908,0.621,1,-6.638,0,0.102,0.000282,0.0000539,0.0958,0.421,150.011,4
spotify:track:7CH8J4ulT49UfZwSDSkSZA,"i miss u (with Au/Ra)","i miss u (with Au/Ra)","Jax Jones;Au/Ra",2020-10-09,172143,58,false,hs0zl79ann50avzla46l34dst,2021-03-23T18:16:29Z,"","Polydor Records",0.668,0.726,9,-7.512,1,0.0468,0.0387,0,0.134,0.453,124.075,4
spotify:track:1DFD5Fotzgn6yYXkYsKiGs,"Piece Of Your Heart","Piece Of Your Heart","MEDUZA;Goodboys",2019-02-01,152913,71,false,hs0zl79ann50avzla46l34dst,2021-03-23T18:16:40Z,"","Intercord",0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,4
spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,"Don't Start Now","Don't Start Now","Dua Lipa",2019-10-31,183290,76,false,hs0zl79ann50avzla46l34dst,2021-03-23T18:16:50Z,"pop","Warner Records",0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,4
spotify:track:503OTo2dSqe7qk76rgsbep,"Still D.R.E.","2001","Dr. Dre;Snoop Dogg",1999-11-16,270586,85,true,hs0zl79ann50avzla46l34dst,2021-03-23T18:16:59Z,"hip hop old school,g-funk,rap gangster,hip hop de la costa oeste,hip hop,rap","Aftermath",0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,4
spotify:track:6gBFPUFcJLzWGx4lenP6h2,"goosebumps","Birds In The Trap Sing McKnight","Travis Scott",2016-09-16,243836,86,true,hs0zl79ann50avzla46l34dst,2021-03-23T18:17:10Z,"rap","Cactus Jack / Epic",0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,4
